order_id,log_date,daily_production,machine_assigned
ORD-2026-011,2026-04-22,33,Loom-J2
ORD-2026-011,2026-04-23,30,Loom-J1
ORD-2026-011,2026-04-24,28,Loom-J1
ORD-2026-011,2026-04-25,25,Loom-J2
ORD-2026-011,2026-04-28,23,Loom-J2
ORD-2026-011,2026-04-29,20,Loom-J1
ORD-2026-011,2026-04-30,18,Loom-J1
ORD-2026-011,2026-05-01,15,Loom-J2
ORD-2026-012,2026-04-12,80,Loom-K1
ORD-2026-012,2026-04-14,75,Loom-K1
ORD-2026-012,2026-04-15,70,Loom-K2
ORD-2026-012,2026-04-16,65,Loom-K2
ORD-2026-012,2026-04-17,60,Loom-K1
ORD-2026-012,2026-04-18,55,Loom-K1
ORD-2026-012,2026-04-21,50,Loom-K2
ORD-2026-012,2026-04-22,48,Loom-K2
ORD-2026-012,2026-04-23,45,Loom-K1
ORD-2026-012,2026-04-24,42,Loom-K1
ORD-2026-012,2026-04-25,40,Loom-K2
ORD-2026-012,2026-04-28,38,Loom-K2
ORD-2026-012,2026-04-29,35,Loom-K1
ORD-2026-012,2026-04-30,32,Loom-K1
ORD-2026-012,2026-05-01,30,Loom-K2
